111-27-3 CCCCCCO
94-74-6 Cc1cc(Cl)ccc1OCC(=O)[O-]
29682-39-1 [O-][N+](=O)c1ccc(Br)c(Cl)c1
76-03-9 [O-]C(=O)C(Cl)(Cl)Cl
314-42-1 CC(C)N1C(=O)NC(=C(Br)C1=O)C
120-83-2 Oc1ccc(Cl)cc1Cl
19937-59-8 COc1ccc(NC(=O)N(C)C)cc1Cl
1967-16-4 CC(OC(=O)Nc1cccc(Cl)c1)C#C
495-48-7 [O-][N+](=Nc1ccccc1)c2ccccc2
3813-05-6 [O-]C(=O)CN1C(=O)Sc2cccc(Cl)c12
13360-45-7 CON(C)C(=O)Nc1ccc(Br)c(Cl)c1
539-82-2 CCCCC(=O)OCC
149-29-1 OC1OCC=C2OC(=O)C=C12
98-86-2 CC(=O)c1ccccc1
94-59-7 C=CCc1ccc2OCOc2c1
1861-40-1 CCCC[NH+](CC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
86-73-7 C1c2ccccc2c3ccccc13
555-37-3 CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
60-35-5 CC(=O)N
103-45-7 CC(=O)OCCc1ccccc1
86-86-2 NC(=O)Cc1cccc2ccccc12
52315-07-8 CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2
470-90-6 CCOP(=O)(OCC)O\C(=C/Cl)\c1ccc(Cl)cc1Cl
56-38-2 CCOP(=S)(OCC)Oc1ccc(cc1)[N+](=O)[O-]
136-60-7 CCCCOC(=O)c1ccccc1
1615-80-1 CCN[NH2+]CC
576-24-9 Oc1cccc(Cl)c1Cl
91-22-5 c1ccc2ncccc2c1
71626-11-4 COC(=O)[C@H](C)N(C(=O)Cc1ccccc1)c2c(C)cccc2C
207-08-9 c1ccc2cc3c(cc2c1)c4cccc5cccc3c45
697-82-5 Cc1cc(C)c(C)c(O)c1
52-68-6 COP(=O)(OC)C(O)C(Cl)(Cl)Cl
741-58-2 CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1
100-54-9 N#Cc1cccnc1
1754-58-1 CNP(=O)(NC)Oc1ccccc1
40487-42-1 CCC(CC)Nc1c(cc(C)c(C)c1[N+](=O)[O-])[N+](=O)[O-]
101-55-3 Brc1ccc(Oc2ccccc2)cc1
111-42-2 OCC[NH2+]CCO
613-93-4 CNC(=O)c1ccccc1
120-66-1 CC(=O)Nc1ccccc1C
834-12-8 CCNc1nc(NC(C)C)nc(SC)n1
1929-82-4 Clc1cccc(n1)C(Cl)(Cl)Cl
104-51-8 CCCCc1ccccc1
1918-00-9 COc1c(Cl)ccc(Cl)c1C(=O)[O-]
75-09-2 ClCCl
5902-51-2 CC1=C(Cl)C(=O)N(C(=O)N1)C(C)(C)C
2008-41-5 CCSC(=O)N(CC(C)C)CC(C)C
5221-53-4 CCCCc1c(C)nc(nc1O)N(C)C
541-73-1 Clc1cccc(Cl)c1
26259-45-0 CCNc1nc(NC(C)CC)nc(OC)n1
123-33-1 Oc1ccc([O-])nn1
101-97-3 CCOC(=O)Cc1ccccc1
127-18-4 ClC(=C(Cl)Cl)Cl
319-84-6 Cl[C@@H]1[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@@H](Cl)[C@H]1Cl
122-42-9 CC(C)OC(=O)Nc1ccccc1
6988-21-2 CNC(=O)Oc1ccccc1C2OCCO2
2234-13-1 Clc1c(Cl)c(Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2c1Cl
37924-13-3 Cc1cc(ccc1[N-]S(=O)(=O)C(F)(F)F)S(=O)(=O)c2ccccc2
