CAS,nN,nHM,O%,MATS1e,GATS1p,GATS7p,GGI1,GGI2,nCq,nCrt,C-040,H-048,H-051,O-059
013116-53-5,0,4,0,-0.027,0.568,0,3,1.111,0,0,0,0,0,0
000121-69-7,1,0,0,0.15,1.241,0,1.5,0.889,0,0,0,0,0,0
000110-30-5,2,0,1.7,-0.002,1.52,0.976,2.5,1.111,0,0,2,0,4,0
000121-57-3,1,1,16.7,-0.006,1.314,0,4,1.778,0,0,0,0,0,0
000082-75-7,1,1,12.5,0.034,1.151,0.122,4,2.222,0,0,0,0,0,0
000098-47-5,1,1,27.8,0.188,1.347,0.014,4.5,2,0,0,0,0,0,0
000088-53-9,1,2,14.3,-0.013,1.171,0.153,5,2.444,0,0,0,0,0,0
000070-55-3,1,1,10,0.124,1.318,0.33,4,1.778,0,0,0,0,0,0
000503-17-3,0,0,0,-0.167,1.25,0,0.5,0.222,0,0,0,0,0,0
000585-07-9,0,0,8.3,0.009,1.57,0,4.5,1.333,0,0,1,0,0,0
000075-98-9,0,0,11.8,-0.088,1.547,0,3.5,1.333,1,0,1,0,0,0
055107-14-7,0,0,12,-0.006,1.629,2.286,4.5,1.778,1,0,1,0,2,0
000098-73-7,0,0,7.4,-0.066,1.104,1.875,4.5,2.222,1,0,1,0,0,0
000109-64-8,0,2,0,0,0.579,0,0.5,0.222,0,0,0,0,0,0
000075-62-7,0,2,0,-0.076,0.576,0,0.5,0,0,0,0,2,0,0
003209-22-1,1,2,14.3,0.266,0.478,0,2.5,1.778,0,0,0,0,0,0
000089-61-2,1,2,14.3,0.266,0.478,0,3,1.556,0,0,0,0,0,0
000121-86-8,1,1,11.8,0.304,0.726,0.026,3,1.778,0,0,0,0,0,0
017420-30-3,3,0,11.8,0.204,0.646,0.034,3,1.778,0,0,1,0,0,0
000121-73-3,1,1,14.3,0.313,0.617,0,2.5,1.111,0,0,0,0,0,0
000088-72-2,1,0,11.8,0.382,0.942,0,2,1.333,0,0,0,0,0,0
025321-14-6,2,0,21.1,0.402,0.884,0.034,3.5,2,0,0,0,0,0,0
000100-25-4,2,0,25,0.414,0.769,0,3,1.778,0,0,0,0,0,0
000099-99-0,1,0,11.8,0.382,0.942,0,2.5,1.333,0,0,0,0,0,0
000088-75-5,1,0,20,0.155,0.784,0,2,1.333,0,0,0,0,0,0
007119-89-3,1,3,28.6,-0.317,0.224,0,3.5,1.333,0,0,0,0,0,0
000330-54-1,2,2,4.2,-0.079,0.894,0.938,4,2,0,0,0,0,0,0
000115-84-4,0,0,6.5,-0.104,1.56,0.46,3,1.333,1,0,0,0,0,0
002396-61-4,0,0,13,-0.129,1.766,0.814,0.5,0.222,0,0,0,0,0,1
000108-99-6,1,0,0,0.063,1.11,0,1,0.444,0,0,0,0,0,0
000156-43-4,1,0,4.8,-0.082,1.133,0.86,2,0.889,0,0,0,0,0,0
000095-55-6,1,0,6.7,-0.264,0.764,0,1.5,1.111,0,0,0,0,0,0
000119-90-4,2,0,5.9,-0.118,1.008,1.247,4,2.667,0,0,0,0,0,0
000108-69-0,1,0,0,-0.213,0.992,0,3,0.667,0,0,0,0,0,0
000095-78-3,1,0,0,-0.213,0.992,0,2.5,1.333,0,0,0,0,0,0
000087-62-7,1,0,0,-0.213,0.992,0,2,1.556,0,0,0,0,0,0
000095-64-7,1,0,0,-0.213,0.992,0,2.5,1.333,0,0,0,0,0,0
000117-79-3,1,0,7.7,-0.076,0.693,1.206,3,2.444,0,0,0,0,0,0
000085-45-0,2,0,15,0.125,1.03,0.026,2.5,1.778,0,0,0,0,0,0
000095-69-2,1,1,0,-0.145,0.708,0,2.5,1.333,0,0,0,0,0,0
063133-82-4,1,1,0,-0.125,0.792,0,3,1.556,0,0,0,0,0,0
005333-84-6,0,0,13.6,-0.015,1.182,0,2.5,1.778,0,3,2,0,2,0
000085-42-7,0,0,14.3,-0.016,1.263,0,2,1.556,0,2,2,0,2,0
004979-32-2,2,2,0,0.198,0.963,1.032,3,1.778,0,0,0,0,0,0
000095-33-0,2,2,0,0.103,0.849,1.172,2.5,1.111,0,0,0,0,0,0
003194-57-8,0,4,0,0,0.548,0,3,2.222,0,0,0,0,0,0
000095-63-6,0,0,0,0,1.111,0,2.5,1.333,0,0,0,0,0,0
